month,coverage,quantile_loss_kwh,point_pinball_same_tau_kwh,point_net_mae_kwh,risk_net_absolute_error_kwh,net_underforecast_kwh,policy,grouping,tau,n_intervals,hour
,0.7874251497005988,15.50080578332655,20.811523232053908,47.27221324662844,57.259836625613644,6.74806409700637,PE,hour,0.8,2004,7.0
,0.7974051896207585,19.85753855749655,21.975022852379908,64.57912942864502,73.0723648595446,8.73844264264606,PE,hour,0.8,2004,8.0
,0.7929141716566867,25.178933156179834,28.2422812777837,72.2279432269032,92.05631629530689,11.27944982853076,PE,hour,0.8,2004,9.0
,0.7959081836327345,28.367579466840976,40.89829583914526,77.37681753682308,102.9701721639206,12.955908390094768,PE,hour,0.8,2004,10.0
,0.7934131736526946,29.54696097896424,53.22351448712214,87.70489773298188,110.1487049776108,12.528699972403473,PE,hour,0.8,2004,11.0
,0.7924151696606786,29.78027150776076,50.82498741260021,87.4631374107869,113.38605324955972,11.838434763081365,PE,hour,0.8,2004,12.0
,0.8008982035928144,27.02470640847617,38.02804872413978,75.54034040730784,98.26285346850685,12.286892857958009,PE,hour,0.8,2004,13.0
,0.7949101796407185,24.34713577474519,26.93858226701189,71.7292502036432,89.59282378481832,10.714285029635874,PE,hour,0.8,2004,14.0
,0.7799401197604791,20.203673303334135,20.972749078975752,62.24011793555283,71.6175714902916,9.800265008793026,PE,hour,0.8,2004,15.0
,0.7889221556886228,16.767597586335043,27.66964985257931,52.227232681734286,61.072075027659906,7.588637634671775,PE,hour,0.8,2004,16.0
,0.7904191616766467,14.970096289755128,45.10119673791094,61.87735160091271,54.62114281103431,6.743112879247115,PE,hour,0.8,2004,17.0
,0.780938123752495,13.301503600275083,31.428676618651448,44.20756596711528,47.65169754046548,6.285273486969984,PE,hour,0.8,2004,18.0
,0.7929141716566867,11.287142411431695,15.350736835762206,29.629187790477395,40.92809944905027,5.169204202702736,PE,hour,0.8,2004,19.0
,0.780439121756487,11.931290227943332,15.62680902038175,30.5079344995996,43.140670241086596,5.505260299543358,PE,hour,0.8,2004,20.0
,0.7909181636726547,12.132998759742293,16.49811050433006,31.276379671620973,43.720549668708,5.648148043334487,PE,hour,0.8,2004,21.0
,0.7889221556886228,12.355152459310567,18.38809716902303,33.19336803524407,45.234650243644154,5.513704017636229,PE,hour,0.8,2004,22.0
,0.7854291417165669,12.375449370607942,25.598670538380137,38.01429986450445,45.19809449038775,5.559717454217319,PE,hour,0.8,2004,23.0
2025-02,0.6877480158730159,14.865987530540442,19.61845581723305,42.83694675798387,39.14208919337976,7.808401931316286,P_tau07,month,0.7,4032,
2025-03,0.678763440860215,18.034907697881376,22.964220293025924,46.719980960663676,44.91259089547687,11.402826073095786,P_tau07,month,0.7,4464,
2025-04,0.7002314814814815,18.84107655298777,23.96862083573776,48.02266833339116,47.4658462110754,11.503306724162867,P_tau07,month,0.7,4320,
2025-05,0.6830197132616488,21.37159394277389,26.562110707312588,50.31357187867978,53.65343933004761,13.188905359399016,P_tau07,month,0.7,4464,
2025-06,0.7125,29.682669677698716,33.816932942758775,61.98676763423336,74.1707525167877,18.57860980665601,P_tau07,month,0.7,4320,
2025-07,0.7007168458781362,26.71718340567754,29.49705132583161,57.7959604931288,66.71680195373645,16.755357048891508,P_tau07,month,0.7,4464,
2025-08,0.6348566308243727,23.111034952502624,28.092138090437423,56.78082337537045,56.48074482137354,15.417028765226394,P_tau07,month,0.7,4464,
2025-09,0.6326388888888889,23.58632858701267,33.29191777260155,62.22925875564083,59.21627822937532,14.553612795500186,P_tau07,month,0.7,4320,
2025-10,0.7569444444444444,17.529839140458286,26.390238763103355,47.7350336202602,48.807996268784144,7.218600649557602,P_tau07,month,0.7,4464,
2025-11,0.7375,13.896670824182483,22.229320349446137,38.47704944554096,38.06463162383457,6.1932033425802775,P_tau07,month,0.7,4320,
2025-12,0.744847670250896,17.998897497137484,22.749061726221672,42.17464656728942,48.52693904157023,8.602039461666038,P_tau07,month,0.7,4464,
,0.6916167664670658,13.713656843706087,15.37974156704708,29.86873335402126,34.64493560855379,8.300440402849876,P_tau07,hour,0.7,2004,0.0
,0.6966067864271457,13.766955794542913,15.634809795808504,30.180772638354192,35.27080181564089,7.964288124626616,P_tau07,hour,0.7,2004,1.0
,0.6891217564870259,13.180909343822377,15.035961187244599,29.074072573847662,33.74700307916267,7.642021050183939,P_tau07,hour,0.7,2004,2.0
,0.6961077844311377,12.823023664169943,14.088256852122777,27.883470163305176,32.57664047941404,7.625078800864329,P_tau07,hour,0.7,2004,3.0
,0.7040918163672655,13.51230383369288,15.421325780459014,29.430327057740737,34.60697039584666,7.8255317873472,P_tau07,hour,0.7,2004,4.0
,0.7040918163672655,15.103671294554722,29.46820207656623,45.927774393197794,38.51234535553307,8.874919219737,P_tau07,hour,0.7,2004,5.0
,0.6981037924151696,15.019433628253081,33.86652961717885,52.6415047140149,39.40884946739033,7.991946970089948,P_tau07,hour,0.7,2004,6.0
,0.6961077844311377,19.148908363298826,21.753051029140682,47.27221324662844,49.10779659002173,11.041423465730762,P_tau07,hour,0.7,2004,7.0
,0.6951097804391217,24.18855197989465,25.413203473027444,64.57912942864502,62.03845667268204,13.942537445225097,P_tau07,hour,0.7,2004,8.0
,0.7050898203592815,30.557295199164486,30.866178056339663,72.2279432269032,77.5865989860931,18.203288758341387,P_tau07,hour,0.7,2004,9.0
,0.6936127744510978,34.52184412129038,40.16166681556736,77.37681753682308,87.16847778863934,20.92825196174643,P_tau07,hour,0.7,2004,10.0
,0.6986027944111777,36.48180270685573,50.099825946911736,87.70489773298188,94.23617981125238,20.527371908700037,P_tau07,hour,0.7,2004,11.0
,0.6941117764471058,37.40790908312894,48.46051451019795,87.4631374107869,97.52323269887225,20.37734818366817,P_tau07,hour,0.7,2004,12.0
,0.6996007984031936,33.22342594009695,37.942089217311164,75.54034040730784,84.89175293179066,19.389750151399387,P_tau07,hour,0.7,2004,13.0
,0.7030938123752495,29.60485173337808,29.91392987861513,71.7292502036432,75.90062723085599,17.08665891030321,P_tau07,hour,0.7,2004,14.0
,0.6991017964071856,24.369659521460612,24.355185708575977,62.24011793555283,61.56610328499428,14.749571339905819,P_tau07,hour,0.7,2004,15.0
,0.6966067864271457,20.707314909198054,27.150972015341925,52.227232681734286,53.15354180880188,11.903130916393726,P_tau07,hour,0.7,2004,16.0
,0.6971057884231537,18.273005677881585,40.38035642542607,61.87735160091271,47.03897288322568,10.403284532284696,P_tau07,hour,0.7,2004,17.0
,0.6941117764471058,15.883190814157361,28.320378740286845,44.20756596711528,40.0380910433733,9.679408752863418,P_tau07,hour,0.7,2004,18.0
,0.6971057884231537,13.597097978861974,15.17202252225437,29.629187790477395,34.714412976355426,7.956935214888363,P_tau07,hour,0.7,2004,19.0
,0.6991017964071856,13.888457230680059,15.502528430187764,30.5079344995996,35.137839877070235,8.36776316889747,P_tau07,hour,0.7,2004,20.0
,0.6986027944111777,14.201215232618337,16.211470281490204,31.276379671620973,35.92631078781526,8.558304990684386,P_tau07,hour,0.7,2004,21.0
,0.6951097804391217,15.083606083907599,17.790959451889364,33.19336803524407,38.41575699253947,8.897197465364394,P_tau07,hour,0.7,2004,22.0
,0.6946107784431138,14.971885728518417,23.401497003004167,38.01429986450445,38.26549687030147,8.73059166856994,P_tau07,hour,0.7,2004,23.0
2025-02,0.8948412698412699,7.544684660704189,17.81843825547416,42.83694675798387,58.55871361744414,2.111016623699719,P_tau09,month,0.9,4032,
2025-03,0.8729838709677419,9.787094384541483,22.568450105720007,46.719980960663676,65.19727225277255,4.084208949080286,P_tau09,month,0.9,4464,
2025-04,0.8893518518518518,9.70480118833683,23.92590750477994,48.02266833339116,69.9850382266847,3.3828717070854517,P_tau09,month,0.9,4320,
2025-05,0.8682795698924731,11.400035383493016,27.967435475285285,50.31357187867978,79.66871547692293,4.291454794750904,P_tau09,month,0.9,4464,
2025-06,0.8657407407407407,17.44339119912442,36.64048206840088,61.98676763423336,117.47512169579325,7.119848786931373,P_tau09,month,0.9,4320,
2025-07,0.8808243727598566,14.460798237954865,30.09612240509882,57.7959604931288,104.57060935834423,5.004671627650556,P_tau09,month,0.9,4464,
2025-08,0.8633512544802867,11.817465650544005,27.793864493189616,56.78082337537045,82.67935575868648,4.436912593344198,P_tau09,month,0.9,4464,
2025-09,0.8694444444444445,11.461835892126812,35.46920616738269,62.22925875564083,84.90169689745746,3.7145827529763347,P_tau09,month,0.9,4320,
2025-10,0.9260752688172043,8.811120251145642,28.91296071607661,47.7350336202602,74.31584756020996,1.7244193689058078,P_tau09,month,0.9,4464,
2025-11,0.9150462962962963,6.910628161744866,25.220115976121797,38.47704944554096,57.484444385731805,1.4527296539646088,P_tau09,month,0.9,4320,
2025-12,0.8942652329749103,10.176041408065606,24.410800168798637,42.17464656728942,76.7248003736882,3.1294517133709854,P_tau09,month,0.9,4464,
,0.8852295409181636,7.327303544110666,15.82511645708353,29.86873335402126,54.25404618255789,2.3773736573185986,P_tau09,hour,0.9,2004,0.0
,0.8852295409181636,7.37185816286417,16.179233272439912,30.180772638354192,53.603009040180304,2.5144465735576755,P_tau09,hour,0.9,2004,1.0
,0.8922155688622755,7.152630114634981,15.534886087565367,29.074072573847662,52.46721989632088,2.382385156253618,P_tau09,hour,0.9,2004,2.0
,0.8827345309381237,6.925756336304918,14.234778622592966,27.883470163305176,50.328904527113714,2.366082354491935,P_tau09,hour,0.9,2004,3.0
,0.8842315369261478,7.3230179316130695,16.127488032047662,29.430327057740737,52.98719485293714,2.5303730578991956,P_tau09,hour,0.9,2004,4.0
,0.8857285429141717,8.110806577389063,35.97251695653356,45.927774393197794,58.967382432724975,2.767585417645707,P_tau09,hour,0.9,2004,5.0
,0.8822355289421158,7.733387696004136,41.41230687735025,52.6415047140149,57.16229423670003,2.5214478404176672,P_tau09,hour,0.9,2004,6.0
,0.8817365269461078,9.969281583640905,19.869995434967137,47.27221324662844,73.09585006658862,3.3246207212275576,P_tau09,hour,0.9,2004,7.0
,0.8852295409181636,12.743526407469606,18.536842231732376,64.57912942864502,94.54411487119253,4.111393650437942,P_tau09,hour,0.9,2004,8.0
,0.8802395209580839,16.174105623349377,25.618384499227737,72.2279432269032,117.61853702937128,5.515314900515312,P_tau09,hour,0.9,2004,9.0
,0.8832335329341318,18.442981527680907,41.634924862723174,77.37681753682308,132.49660535343244,6.491651240422084,P_tau09,hour,0.9,2004,10.0
,0.8852295409181636,18.6015575767358,56.34720302733254,87.70489773298188,139.73187631298498,5.785462431796632,P_tau09,hour,0.9,2004,11.0
,0.8907185628742516,18.887325809009184,53.18946031500245,87.4631374107869,142.65024011298098,5.777877247138861,P_tau09,hour,0.9,2004,12.0
,0.8927145708582834,18.116270566725788,38.1140082309684,75.54034040730784,129.71063815406205,6.4315084391494795,P_tau09,hour,0.9,2004,13.0
,0.8877245508982036,15.650337559133229,23.96323465540865,71.7292502036432,111.84006761552476,5.582913496975945,P_tau09,hour,0.9,2004,14.0
,0.8817365269461078,13.65305595027561,17.59031244937553,62.24011793555283,93.55016883913382,5.372548832952786,P_tau09,hour,0.9,2004,15.0
,0.8902195608782435,11.00530741754694,28.188327689816703,52.227232681734286,80.05535266968293,3.7497151882233086,P_tau09,hour,0.9,2004,16.0
,0.8897205588822356,9.204051508915168,49.82203705039579,61.87735160091271,68.5609675385531,2.934943443824825,P_tau09,hour,0.9,2004,17.0
,0.8762475049900199,8.737774031139736,34.536974497016054,44.20756596711528,62.668956998730735,3.0885979140833313,P_tau09,hour,0.9,2004,18.0
,0.8852295409181636,7.389357723750174,15.529451149270043,29.629187790477395,52.654376664838686,2.6549000715828823,P_tau09,hour,0.9,2004,19.0
,0.8797405189620758,7.442573672382934,15.75108961057573,30.5079344995996,54.49094424697125,2.4918490596072624,P_tau09,hour,0.9,2004,20.0
,0.8852295409181636,7.707771692699449,16.784750727169925,31.276379671620973,55.89328880503163,2.64805351524536,P_tau09,hour,0.9,2004,21.0
,0.8897205588822356,7.869890266543169,18.985234886156697,33.19336803524407,57.900465391228344,2.5998046592754194,P_tau09,hour,0.9,2004,22.0
,0.8872255489021956,7.794208099323288,27.795844073756108,38.01429986450445,57.885173010819706,2.507113497801648,P_tau09,hour,0.9,2004,23.0
2025-02,0.7822420634920635,11.885030312948059,18.718447036353602,42.83694675798387,44.66422189760239,4.920309889045972,P_w14,month,0.8,4032,
2025-03,0.7829301075268817,14.878146384765397,22.766335199372964,46.719980960663676,52.69137260813337,7.233119771897874,P_w14,month,0.8,4464,
2025-04,0.7909722222222222,15.517156526003795,23.94726417025885,48.02266833339116,55.628413881559624,7.319122916153122,P_w14,month,0.8,4320,
2025-05,0.765905017921147,17.883073584212426,27.264773091298935,50.31357187867978,63.469325190491425,8.648680910190238,P_w14,month,0.8,4464,
2025-06,0.7703703703703704,24.792559374004696,35.22870750557983,61.98676763423336,86.80098031859654,12.387272183808985,P_w14,month,0.8,4320,
2025-07,0.7656810035842294,22.350714560589957,29.79658686546522,57.7959604931288,78.37723617173789,11.125445543737301,P_w14,month,0.8,4464,
2025-08,0.766353046594982,18.902894908310845,27.94300129181352,56.78082337537045,66.45110068508397,9.354457952156759,P_w14,month,0.8,4464,
2025-09,0.7680555555555556,19.39539857524807,34.380561969992115,62.22925875564083,69.8086620200216,9.056110285406252,P_w14,month,0.8,4320,
2025-10,0.8060035842293907,14.199065856911293,27.651599739589983,47.7350336202602,55.2917407537314,5.234529510275023,P_w14,month,0.8,4464,
2025-11,0.805787037037037,11.136989992663398,23.72471816278397,38.47704944554096,43.09292059975882,4.197343121186061,P_w14,month,0.8,4320,
2025-12,0.7970430107526881,14.344643117165758,23.579930947510157,42.17464656728942,54.17175646146615,5.850486374787549,P_w14,month,0.8,4464,
,0.779441117764471,11.253824059555424,15.602429012065306,29.86873335402126,40.21599628190123,5.3510413386253,P_w14,hour,0.8,2004,0.0
,0.7769461077844312,11.301298245248997,15.907021534124208,30.180772638354192,40.66665343837851,5.279945929288826,P_w14,hour,0.8,2004,1.0
,0.7854291417165669,10.82241096140738,15.285423637404982,29.074072573847662,39.48474700965027,4.875769265795545,P_w14,hour,0.8,2004,2.0
,0.7854291417165669,10.444309307361898,14.161517737357872,27.883470163305176,37.67325142799645,4.849431702937681,P_w14,hour,0.8,2004,3.0
,0.783433133732535,10.918394493624186,15.774406906253338,29.430327057740737,39.565889672565135,5.008694265185268,P_w14,hour,0.8,2004,4.0
