hour,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,emergency_kwh,grid_plan_kwh,unused_grid_kwh,policy
4,572502.6948076976,0.0,572502.6948076976,0.0,1302918.8828564624,31441.013086434865,D56_risk625
5,604562.6706344036,301.73401953639745,604864.4046539399,66.71708837331192,1372161.3303563811,145987.22722981824,D56_risk625
6,279947.2020624772,15326.765425861302,295273.9674883385,3549.4401332721104,326740.3552576803,0.0,D56_risk625
7,382450.5773608735,12672.567298183536,395123.1446590571,3133.7510176626415,497159.5283857119,11823.329214511174,D56_risk625
8,7060.931265358729,24801.200664514465,31862.131929873194,4648.633290607369,6221.263790478325,0.0,D56_risk625
9,32175.590848464442,70740.70371667374,102916.29456513819,14441.63008480826,33614.097171253095,0.0,D56_risk625
10,78425.46151059377,41063.866033539816,119489.32754413359,8642.82235449692,135164.62584145286,5168.907641944399,D56_risk625
11,385135.62141244794,746.5722995896531,385882.1937120376,309.5314243735105,817265.209207987,82723.73010175794,D56_risk625
12,319314.2794946937,0.0,319314.2794946937,0.0,694935.4487281052,277668.41352554515,D56_risk625
13,56618.547100292766,0.0,56618.547100292766,0.0,65435.87261130794,25517.50361288906,D56_risk625
14,110399.23620705283,0.0,110399.23620705283,0.0,164456.1559853168,20855.581555523484,D56_risk625
15,656581.7196109828,1428.9744473676603,658010.6940583505,360.02294927012895,890589.5879799492,219965.99366406773,D56_risk625
16,1035938.7741344849,3908.1196440980443,1039846.8937785829,883.1708534894834,1166527.2946328123,82210.16152621043,D56_risk625
17,1494276.2427973093,2266.6437408028437,1496542.886538112,434.9583387619666,1463163.3522866128,45045.00724422452,D56_risk625
18,1253052.420258524,7357.780703632368,1260410.2009621563,1110.3106001439207,993343.9705785267,6615.669564348615,D56_risk625
19,212511.0808968238,82148.23528283447,294659.3161796583,12187.80596353369,157650.27515970546,0.0,D56_risk625
20,707795.0782715095,323337.8981951814,1031132.976466691,47933.57253169026,622576.4463962485,0.0,D56_risk625
21,1196915.9223530022,39981.804472071664,1236897.7268250738,8911.94009020782,1429332.184765498,0.0,D56_risk625
22,532392.8330209403,1996.4404789979346,534389.2734999382,944.8953614532948,1277977.5143957967,0.0,D56_risk625
