policy,date,issue_hour,horizon_intervals,milp_objective_yuan,lp_lower_bound_yuan,milp_minus_lp_yuan,lp_max_primal_violation,runtime_seconds,passed
soft_raw,2025-09-23,18,36,18703.947862458182,18703.947862458182,0.0,1.7053025658242404e-13,0.002129125001374632,True
soft_raw,2025-12-21,0,144,60124.078192912755,60124.078192912755,0.0,9.094947017729282e-13,0.00537833300040802,True
soft_raw,2025-12-21,6,108,46378.52107066124,46378.52107066123,1.4551915228366852e-11,9.094947017729282e-13,0.005517291996511631,True
soft_raw,2025-12-21,12,72,34897.072982897436,34897.072982897436,0.0,9.094947017729282e-13,0.003891000000294298,True
soft_raw,2025-12-21,18,36,14668.03602713285,14668.03602713285,0.0,9.094947017729282e-13,0.002111708003212698,True
soft_w28,2025-04-01,0,144,38994.99930747833,38994.99930747831,1.4551915228366852e-11,4.547473508864641e-13,0.006058749997464474,True
soft_w28,2025-04-01,6,108,30563.616184870763,30563.616184870767,-3.637978807091713e-12,9.094947017729282e-13,0.005625917001452763,True
soft_w28,2025-04-01,12,72,25842.120315502405,25842.120315502416,-1.0913936421275139e-11,6.821210263296962e-13,0.003864875005092472,True
soft_w28,2025-04-01,18,36,15195.848299138037,15195.848299138037,0.0,4.547473508864641e-13,0.0025620000014896505,True
soft_w28,2025-06-21,0,144,19539.78371410143,19539.783714101428,3.637978807091713e-12,9.094947017729282e-13,0.0051515840023057535,True
soft_w28,2025-06-21,6,108,15765.185414305046,15765.185414305048,-1.8189894035458565e-12,1.8189894035458565e-12,0.005202083004405722,True
soft_w28,2025-06-21,12,72,16183.432328728399,16183.432328728397,1.8189894035458565e-12,9.094947017729282e-13,0.0037029580053058453,True
soft_w28,2025-06-21,18,36,13081.043364740095,13081.043364740097,-1.8189894035458565e-12,9.094947017729282e-13,0.002162875003705267,True
soft_w28,2025-09-23,0,144,40893.264744127446,40893.264744127446,0.0,4.547473508864641e-13,0.00536975000431994,True
soft_w28,2025-09-23,6,108,29119.766586808946,29119.766586808946,0.0,2.5263741715914674e-13,0.005382874995120801,True
soft_w28,2025-09-23,12,72,27474.93785864859,27474.937858648587,3.637978807091713e-12,2.5263741715914674e-13,0.0037952919956296682,True
soft_w28,2025-09-23,18,36,17718.89339555854,17718.893395558545,-3.637978807091713e-12,2.0463630789890883e-13,0.002183083997806534,True
soft_w28,2025-12-21,0,144,59891.12487169635,59891.12487169635,0.0,9.094947017729282e-13,0.005318125004123431,True
soft_w28,2025-12-21,6,108,45942.431755074,45942.431755073994,7.275957614183426e-12,9.094947017729282e-13,0.005374957996536978,True
soft_w28,2025-12-21,12,72,35679.790031178236,35679.79003117825,-1.4551915228366852e-11,9.094947017729282e-13,0.0037320830015232787,True
