candidate,reference,date,saving_yuan
q3_soc,q3_no_update,2025-09-26,229.9113937108741
q3_soc,q3_no_update,2025-09-27,-11.384582155002136
q3_soc,q3_no_update,2025-09-28,5.527653681063384
q3_soc,q3_no_update,2025-09-29,167.6526509063624
q3_soc,q3_no_update,2025-09-30,-1424.3308496274112
q3_soc,q3_no_update,2025-10-01,516.9244646960506
q3_soc,q3_no_update,2025-10-02,535.2681091506529
q3_soc,q3_no_update,2025-10-03,575.8447843518625
q3_soc,q3_no_update,2025-10-04,-9.131453330519435
q3_soc,q3_no_update,2025-10-05,615.7589644892796
q3_soc,q3_no_update,2025-10-06,24.04325672320556
q3_soc,q3_no_update,2025-10-07,214.6223573931493
q3_soc,q3_no_update,2025-10-08,-72.56674199945701
q3_soc,q3_no_update,2025-10-09,535.8986739894972
q3_soc,q3_no_update,2025-10-10,6.697633444062376
q3_soc,q3_no_update,2025-10-11,12.636020227819245
q3_soc,q3_no_update,2025-10-12,471.08113357746333
q3_soc,q3_no_update,2025-10-13,44.92992382887314
q3_soc,q3_no_update,2025-10-14,-1.2419437525604735
q3_soc,q3_no_update,2025-10-15,113.94543001501734
q3_soc,q3_no_update,2025-10-16,-24.662091138074175
q3_soc,q3_no_update,2025-10-17,-2.7434602761641145
q3_soc,q3_no_update,2025-10-18,-1.652460823610454
q3_soc,q3_no_update,2025-10-19,-0.5957024824019754
q3_soc,q3_no_update,2025-10-20,460.62727405905025
q3_soc,q3_no_update,2025-10-21,-5.864480380550958
q3_soc,q3_no_update,2025-10-22,-3.472972134986776
q3_soc,q3_no_update,2025-10-23,810.766248211643
q3_soc,q3_no_update,2025-10-24,-12.063755836035853
q3_soc,q3_no_update,2025-10-25,9.258119545280351
q3_soc,q3_no_update,2025-10-26,654.6130346617065
q3_soc,q3_no_update,2025-10-27,270.09765150703606
q3_soc,q3_no_update,2025-10-28,105.1955922028501
q3_soc,q3_no_update,2025-10-29,39.9891380802801
q3_soc,q3_no_update,2025-10-30,1.0168010663983296
q3_soc,q3_no_update,2025-10-31,44.18337225110736
q3_soc,q3_no_update,2025-11-01,4.744451737798954
q3_soc,q3_no_update,2025-11-02,-697.8022495480327
q3_soc,q3_no_update,2025-11-03,164.44725678905525
q3_soc,q3_no_update,2025-11-04,-9.486682065900823
q3_soc,q3_no_update,2025-11-05,112.6420600088095
q3_soc,q3_no_update,2025-11-06,-318.7288757198985
q3_soc,q3_no_update,2025-11-07,-38.8792359241379
q3_soc,q3_no_update,2025-11-08,21.116034154427325
q3_soc,q3_no_update,2025-11-09,78.7089566525101
q3_soc,q3_no_update,2025-11-10,-264.2556577746218
q3_soc,q3_no_update,2025-11-11,368.7435471078934
q3_soc,q3_no_update,2025-11-12,34.82351845383528
q3_soc,q3_no_update,2025-11-13,-729.6657695926333
q3_soc,q3_no_update,2025-11-14,166.86418601553305
q3_soc,q3_no_update,2025-11-15,122.93425500035664
q3_soc,q3_no_update,2025-11-16,-35.205827211342694
q3_soc,q3_no_update,2025-11-17,-14.08088410730852
q3_soc,q3_no_update,2025-11-18,-230.2407502595088
q3_soc,q3_no_update,2025-11-19,-544.0043987458484
q3_soc,q3_no_update,2025-11-20,84.75558617213392
q3_soc,q3_no_update,2025-11-21,59.492814014625765
q3_soc,q3_no_update,2025-11-22,278.7178187373029
q3_soc,q3_no_update,2025-11-23,-451.5523667482339
q3_soc,q3_no_update,2025-11-24,12.214230941870483
q3_soc,q3_no_update,2025-11-25,373.19153168711637
q3_soc,q3_no_update,2025-11-26,19.86109881332959
q3_soc,q3_no_update,2025-11-27,-9.928911910821625
q3_soc,q3_no_update,2025-11-28,-47.02948159359585
q3_soc,q3_no_update,2025-11-29,733.3697584120018
q3_soc,q3_no_update,2025-11-30,-79.83555063432141
q3_soc,q3_no_update,2025-12-01,4625.137488637614
q3_soc,q3_no_update,2025-12-02,3768.15247419315
q3_soc,q3_no_update,2025-12-03,22628.50623084276
q3_soc,q3_no_update,2025-12-04,3710.9567414423364
q3_soc,q3_no_update,2025-12-05,1656.7593111101996
q3_soc,q3_no_update,2025-12-06,-124.71929732494391
q3_soc,q3_no_update,2025-12-07,1049.299673156689
q3_soc,q3_no_update,2025-12-08,610.872728033617
q3_soc,q3_no_update,2025-12-09,412.4332132638083
q3_soc,q3_no_update,2025-12-10,-207.19003861619422
q3_soc,q3_no_update,2025-12-11,201.83025479040225
q3_soc,q3_no_update,2025-12-12,468.40778741856775
q3_soc,q3_no_update,2025-12-13,626.9526966264675
q3_soc,q3_no_update,2025-12-14,-830.3012858123402
q3_soc,q3_no_update,2025-12-15,-288.9197015032405
q3_soc,q3_no_update,2025-12-16,385.4746231256577
q3_soc,q3_no_update,2025-12-17,513.5957805709113
q3_soc,q3_no_update,2025-12-18,120.74169879786496
q3_soc,q3_no_update,2025-12-19,253.22228976938277
q3_soc,q3_no_update,2025-12-20,438.66502404485436
q3_soc,q3_no_update,2025-12-21,-104.08550349080906
q3_soc,q3_no_update,2025-12-22,44.40052165528323
q3_soc,q3_no_update,2025-12-23,381.3827351487853
q3_soc,q3_no_update,2025-12-24,168.0054340660572
q3_soc,q3_no_update,2025-12-25,13.518797352400725
q3_soc,q3_no_update,2025-12-26,111.27419802951408
q3_soc,q3_no_update,2025-12-27,31.859237529002712
q3_soc,q3_no_update,2025-12-28,-84.18968715904339
q3_soc,q3_no_update,2025-12-29,47.893424483787385
q3_soc,q3_no_update,2025-12-30,71.9721454684186
q3_soc,q3_no_update,2025-12-31,119.62366764122999
q3_raw,q3_soc,2025-02-01,1221.0207584757773
q3_raw,q3_soc,2025-02-02,1208.3097854245716
q3_raw,q3_soc,2025-02-03,2038.6941396510156
q3_raw,q3_soc,2025-02-04,2171.981173567103
q3_raw,q3_soc,2025-02-05,960.2169497090363
q3_raw,q3_soc,2025-02-06,2962.9272579668614
q3_raw,q3_soc,2025-02-07,962.3524398527225
q3_raw,q3_soc,2025-02-08,128.2797819159132
q3_raw,q3_soc,2025-02-09,491.2355677968444
q3_raw,q3_soc,2025-02-10,1517.3491638514024
q3_raw,q3_soc,2025-02-11,2220.0770918043127
q3_raw,q3_soc,2025-02-12,1068.7185662712727
q3_raw,q3_soc,2025-02-13,912.6281840423617
q3_raw,q3_soc,2025-02-14,-214.4102309971313
q3_raw,q3_soc,2025-02-15,460.10166071746426
q3_raw,q3_soc,2025-02-16,332.5052059715381
q3_raw,q3_soc,2025-02-17,2282.1071035099376
q3_raw,q3_soc,2025-02-18,-501.93837881905347
q3_raw,q3_soc,2025-02-19,-9.541237209276005
q3_raw,q3_soc,2025-02-20,1129.7262752119932
q3_raw,q3_soc,2025-02-21,-107.27652628004944
q3_raw,q3_soc,2025-02-22,241.37458716564288
q3_raw,q3_soc,2025-02-23,1605.460901870014
q3_raw,q3_soc,2025-02-24,836.1228624036739
q3_raw,q3_soc,2025-02-25,1686.522238576399
q3_raw,q3_soc,2025-02-26,256.63464508344623
q3_raw,q3_soc,2025-02-27,272.4259942080316
q3_raw,q3_soc,2025-02-28,277.1916997747903
q3_raw,q3_soc,2025-03-01,297.5119241615357
q3_raw,q3_soc,2025-03-02,445.0755690433434
q3_raw,q3_soc,2025-03-03,2014.563385890986
q3_raw,q3_soc,2025-03-04,228.27765678896685
q3_raw,q3_soc,2025-03-05,2009.4896076731238
q3_raw,q3_soc,2025-03-06,586.7635713337295
q3_raw,q3_soc,2025-03-07,579.4728226717452
q3_raw,q3_soc,2025-03-08,130.48137135662182
q3_raw,q3_soc,2025-03-09,2201.8914762529603
q3_raw,q3_soc,2025-03-10,2652.314475118277
q3_raw,q3_soc,2025-03-11,2456.8943221559457
q3_raw,q3_soc,2025-03-12,2107.146208653954
q3_raw,q3_soc,2025-03-13,-14.328192077402491
q3_raw,q3_soc,2025-03-14,-90.73838035780136
q3_raw,q3_soc,2025-03-15,622.6744512950154
q3_raw,q3_soc,2025-03-16,447.4798103269568
q3_raw,q3_soc,2025-03-17,775.9283386881507
q3_raw,q3_soc,2025-03-18,1975.9193743151554
q3_raw,q3_soc,2025-03-19,-221.32314466848766
q3_raw,q3_soc,2025-03-20,3178.026113879263
q3_raw,q3_soc,2025-03-21,483.37806839114637
q3_raw,q3_soc,2025-03-22,131.07049165226454
q3_raw,q3_soc,2025-03-23,1794.2640309805793
q3_raw,q3_soc,2025-03-24,737.4069265661892
q3_raw,q3_soc,2025-03-25,2811.3896471053085
q3_raw,q3_soc,2025-03-26,2465.4284464823577
q3_raw,q3_soc,2025-03-27,1483.7396476126523
q3_raw,q3_soc,2025-03-28,8.103274204650006
q3_raw,q3_soc,2025-03-29,474.7111306508814
q3_raw,q3_soc,2025-03-30,1161.637376264298
q3_raw,q3_soc,2025-03-31,972.4179488089212
q3_raw,q3_soc,2025-04-01,1130.9653907521933
q3_raw,q3_soc,2025-04-02,243.5881015919149
q3_raw,q3_soc,2025-04-03,1970.646536122782
q3_raw,q3_soc,2025-04-04,74.97181765140158
q3_raw,q3_soc,2025-04-05,-89.73544472365029
q3_raw,q3_soc,2025-04-06,920.9801543961003
q3_raw,q3_soc,2025-04-07,-272.0597109588416
q3_raw,q3_soc,2025-04-08,2113.7130886377054
q3_raw,q3_soc,2025-04-09,240.25172762494185
q3_raw,q3_soc,2025-04-10,937.9794903722577
q3_raw,q3_soc,2025-04-11,-107.06633561976014
q3_raw,q3_soc,2025-04-12,285.0438367971765
q3_raw,q3_soc,2025-04-13,287.53293156631116
q3_raw,q3_soc,2025-04-14,-615.6404360554443
q3_raw,q3_soc,2025-04-15,623.7823850859204
q3_raw,q3_soc,2025-04-16,-178.21209768065455
q3_raw,q3_soc,2025-04-17,-567.0377827003613
q3_raw,q3_soc,2025-04-18,-98.97484445789269
q3_raw,q3_soc,2025-04-19,-163.82444137150924
q3_raw,q3_soc,2025-04-20,-238.65870781000558
q3_raw,q3_soc,2025-04-21,1978.7012586707715
q3_raw,q3_soc,2025-04-22,93.06259566450171
q3_raw,q3_soc,2025-04-23,1266.4126717502368
q3_raw,q3_soc,2025-04-24,-617.4927896181362
q3_raw,q3_soc,2025-04-25,-86.68960106716986
q3_raw,q3_soc,2025-04-26,-89.34509184264425
q3_raw,q3_soc,2025-04-27,384.21336363776936
q3_raw,q3_soc,2025-04-28,208.73830373896635
q3_raw,q3_soc,2025-04-29,1362.3121914473377
q3_raw,q3_soc,2025-04-30,726.958986071877
q3_raw,q3_soc,2025-05-01,-543.7394174393048
q3_raw,q3_soc,2025-05-02,-560.4208499506312
q3_raw,q3_soc,2025-05-03,-0.0465318424430734
q3_raw,q3_soc,2025-05-04,-1811.1021034100195
q3_raw,q3_soc,2025-05-05,-2769.019219218688
q3_raw,q3_soc,2025-05-06,5132.966704752907
q3_raw,q3_soc,2025-05-07,3116.8594489821626
q3_raw,q3_soc,2025-05-08,419.02831915352
q3_raw,q3_soc,2025-05-09,-294.7637342941125
q3_raw,q3_soc,2025-05-10,-398.80991532229746
q3_raw,q3_soc,2025-05-11,347.7719251103117
q3_raw,q3_soc,2025-05-12,-1033.3745873029038
q3_raw,q3_soc,2025-05-13,1027.647596358991
q3_raw,q3_soc,2025-05-14,525.8409277163955
q3_raw,q3_soc,2025-05-15,99.7083789236276
q3_raw,q3_soc,2025-05-16,28.008402228235354
q3_raw,q3_soc,2025-05-17,72.13073623861783
q3_raw,q3_soc,2025-05-18,812.404023855459
q3_raw,q3_soc,2025-05-19,111.75743156010867
q3_raw,q3_soc,2025-05-20,327.9712220846777
q3_raw,q3_soc,2025-05-21,-1392.9741995830045
q3_raw,q3_soc,2025-05-22,363.09501028132945
q3_raw,q3_soc,2025-05-23,-1095.5510660546606
q3_raw,q3_soc,2025-05-24,74.10820261317713
q3_raw,q3_soc,2025-05-25,73.61651124914351
q3_raw,q3_soc,2025-05-26,-670.195612902302
q3_raw,q3_soc,2025-05-27,-545.7438833781707
q3_raw,q3_soc,2025-05-28,80.9463406398354
q3_raw,q3_soc,2025-05-29,-1534.2080699018406
q3_raw,q3_soc,2025-05-30,-14.407944351010883
q3_raw,q3_soc,2025-05-31,482.48905087981984
q3_raw,q3_soc,2025-06-01,-8989.137827345985
q3_raw,q3_soc,2025-06-02,-3210.7998365401145
q3_raw,q3_soc,2025-06-03,136.5575935537272
q3_raw,q3_soc,2025-06-04,315.32145504658547
q3_raw,q3_soc,2025-06-05,490.88167484645237
q3_raw,q3_soc,2025-06-06,-2876.3183223621963
q3_raw,q3_soc,2025-06-07,-23.920678482845688
q3_raw,q3_soc,2025-06-08,-187.3420552569587
q3_raw,q3_soc,2025-06-09,1852.4143717071347
q3_raw,q3_soc,2025-06-10,-58.274989842386276
q3_raw,q3_soc,2025-06-11,735.0033058711706
q3_raw,q3_soc,2025-06-12,183.03850912681082
q3_raw,q3_soc,2025-06-13,-38.487289886881626
q3_raw,q3_soc,2025-06-14,172.55781119252788
q3_raw,q3_soc,2025-06-15,-132.08783293101442
q3_raw,q3_soc,2025-06-16,288.2647759175961
q3_raw,q3_soc,2025-06-17,-296.320681837562
q3_raw,q3_soc,2025-06-18,230.97873227152013
q3_raw,q3_soc,2025-06-19,-1284.2078996596683
q3_raw,q3_soc,2025-06-20,286.5642031478019
q3_raw,q3_soc,2025-06-21,-1.175358079297439
q3_raw,q3_soc,2025-06-22,-719.529885240001
q3_raw,q3_soc,2025-06-23,287.51734820559795
q3_raw,q3_soc,2025-06-24,1074.1665289519296
q3_raw,q3_soc,2025-06-25,-1344.4127877309802
q3_raw,q3_soc,2025-06-26,-74.33112180679018
q3_raw,q3_soc,2025-06-27,770.9568892106981
q3_raw,q3_soc,2025-06-28,-13.582132673353044
q3_raw,q3_soc,2025-06-29,1132.5720114005671
q3_raw,q3_soc,2025-06-30,842.1665219588831
q3_raw,q3_soc,2025-07-01,1626.0473132455372
q3_raw,q3_soc,2025-07-02,-4211.354770571059
q3_raw,q3_soc,2025-07-03,0.38741855685657356
q3_raw,q3_soc,2025-07-04,-503.9696239105251
q3_raw,q3_soc,2025-07-05,-611.1529662610919
q3_raw,q3_soc,2025-07-06,9303.716868085103
q3_raw,q3_soc,2025-07-07,-4158.764905557087
q3_raw,q3_soc,2025-07-08,839.5087667715707
q3_raw,q3_soc,2025-07-09,1072.0609713284357
q3_raw,q3_soc,2025-07-10,-20.961156616234803
q3_raw,q3_soc,2025-07-11,225.65655188000164
q3_raw,q3_soc,2025-07-12,-847.6876379758905
