policy,date,expected_emergency_yuan,actual_emergency_yuan,emergency_prediction_error_yuan,selected_proxy_score_yuan,actual_cost_yuan
P_B1,2025-07-21,4607.1175231939105,0.0,-4607.1175231939105,63550.272292526104,58911.20249311405
P_B1,2025-07-22,4656.055213242374,0.0,-4656.055213242374,64110.95575155633,59422.94826209583
P_B1,2025-07-23,4545.590694615929,0.0,-4545.590694615929,63369.71008656686,58792.589189475635
P_B1,2025-07-24,4684.177203978756,0.0,-4684.177203978756,63465.06692709791,58749.35952064386
P_B1,2025-07-25,3366.6478513200354,0.0,-3366.6478513200354,33660.34901277133,30262.170958976
P_B1,2025-07-26,3088.2165307725813,0.0,-3088.2165307725813,33524.009735475214,30404.263002227337
P_B1,2025-07-27,4476.733315433582,0.0,-4476.733315433582,62698.292499924384,58189.43009898157
P_B1,2025-07-28,4395.2104384466775,0.0,-4395.2104384466775,63241.02505644725,58813.68553249135
P_B1,2025-07-29,4369.780800246123,0.0,-4369.780800246123,66590.65929720149,62188.60237027296
P_B1,2025-07-30,4607.806184374169,0.0,-4607.806184374169,64875.7814088075,60228.504628856084
P_B1,2025-07-31,5267.35009647582,0.0,-5267.35009647582,62738.026913792,57420.93940933724
P_B1,2025-08-01,3888.386253273061,0.0,-3888.386253273061,31613.17406551603,27678.385281262003
P_B1,2025-08-02,3014.1024451349454,0.0,-3014.1024451349454,29275.360613095952,26222.85683071833
P_B1,2025-08-03,3290.1202583838713,647.159504148326,-2642.960754235545,53844.19387528299,51173.548766307766
P_B1,2025-08-04,986.1389998192031,195.57066802666546,-790.5683317925377,48192.25512417667,47389.43606977699
P_B1,2025-08-05,259.0175133660146,31.41854198999886,-227.59897137601575,48862.47729737907,48634.87832600305
P_B1,2025-08-06,224.3865865907722,1456.9808518976502,1232.594265306878,49485.87110417304,50718.46536947992
P_B1,2025-08-07,325.3496204386045,29.743666994999444,-295.6059534436051,51391.086926898366,51112.37313064087
P_B1,2025-08-08,0.0,0.0,0.0,25672.446738238756,25672.414912966666
P_B1,2025-08-09,0.0,0.0,0.0,24992.640155603716,24992.033278692994
P_B1,2025-08-10,298.7730789810443,21.08811807666663,-277.6849609043777,49455.58187559272,49177.896914688325
P_B1,2025-08-11,343.6267397824572,813.679924149995,470.0531843675378,49601.24858551349,50071.30176988103
P_B1,2025-08-12,262.08410487021854,2463.4626155391916,2201.378510668973,47902.25583109941,50103.6343417684
P_B1,2025-08-13,385.7767087753846,824.9951343216641,439.2184255462795,50104.71390769185,50543.93233323812
P_B1,2025-08-14,439.82301973938775,794.4862546933293,354.6632349539416,48952.86277952985,49307.379783544304
P_B1,2025-08-15,11.242032314673901,0.0,-11.242032314673901,25262.457860405342,25251.21582809067
P_B1,2025-08-16,11.04607001628125,0.0,-11.04607001628125,25045.380978741614,25034.334908725334
P_B1,2025-08-17,498.49813649208875,790.0232928433304,291.52515635124166,47577.60180052536,47869.1269568766
P_B1,2025-08-18,410.5620717497742,796.859147944997,386.29707619522276,47995.01731797586,48381.31439417107
P_B1,2025-08-19,559.2334487678405,494.97886228666124,-64.25458648117927,49029.02182073079,48964.767234249615
P_B1,2025-08-20,430.88798255383335,3169.673546084986,2738.7855635311525,48865.76646433921,51604.55202787037
P_B1,2025-08-21,1002.056355269463,0.0,-1002.056355269463,53418.86531543577,52416.808960166294
P_B1,2025-08-22,4.883289176391648,957.3133524266501,952.4300632502585,24850.37002444006,25802.800087690317
P_B1,2025-08-23,16.561926262552184,0.0,-16.561926262552184,25796.943757308884,25780.381831046332
P_B1,2025-08-24,813.3801121921924,0.0,-813.3801121921924,51035.789272199756,50222.40916000757
P_B1,2025-08-25,816.7226401395371,5166.753433569716,4350.030793430179,49338.289221064035,53688.32001449421
P_B1,2025-08-26,990.0802906327788,114.77438399999868,-875.3059066327801,53545.43226303147,52670.126356398694
P_B1,2025-08-27,1039.36016439219,86.60119259999792,-952.758971792192,50467.92386915983,49515.164897367635
P_B1,2025-08-28,1041.4323640040132,590.0500489733305,-451.38231503068266,52511.02174856276,52059.63943353208
P_B1,2025-08-29,67.28742659517113,0.0,-67.28742659517113,26407.354755440174,26340.067328845
P_B1,2025-08-30,87.8914520117175,0.0,-87.8914520117175,26571.003067381054,26483.111615369337
P_B1,2025-08-31,781.2725890870558,345.0190890383272,-436.25350004872865,49457.14504265438,49020.89154260566
P_B1,2025-09-01,922.6856386517919,0.0,-922.6856386517919,51168.421222988196,50245.735584336406
P_B1,2025-09-02,775.3741467519063,0.0,-775.3741467519063,49965.933846563974,49190.55504818936
P_B1,2025-09-03,1127.5984438537992,0.0,-1127.5984438537992,50304.59664586724,49176.770524722684
P_B1,2025-09-04,989.5200266373598,0.0,-989.5200266373598,51671.42383034506,50681.9038037077
P_B1,2025-09-05,177.84770677511702,0.0,-177.84770677511702,26470.289752523444,26292.442045748332
P_B1,2025-09-06,134.732203878201,0.0,-134.732203878201,25973.553564985323,25838.627720132004
P_B1,2025-09-07,1184.626697670319,0.0,-1184.626697670319,49882.44858529859,48697.03661195937
P_B1,2025-09-08,1133.502032786617,8007.77420367611,6874.272170889493,41485.664313591195,48359.083289798305
P_B1,2025-09-09,1425.9888850927218,0.0,-1425.9888850927218,44867.38318278854,43469.90692223831
P_B1,2025-09-10,1354.311823312557,15558.871125653997,14204.55930234144,41339.28392546588,55542.26904495141
P_B1,2025-09-11,1635.3924350472205,0.0,-1635.3924350472205,46503.796943580615,44866.790146154584
P_B1,2025-09-12,154.92185203800702,61.202941747756746,-93.71891029025028,18931.32854798657,18835.824722063087
P_B1,2025-09-13,172.12870221623686,0.0,-172.12870221623686,19281.446499981113,19107.386709736667
P_B1,2025-09-14,1431.0381911808586,0.0,-1431.0381911808586,42109.245347490316,40676.78460507976
P_B1,2025-09-15,1270.344454281095,9.094617563328592,-1261.2498367177666,45524.76621334569,44262.72103395304
P_B1,2025-09-16,1446.8816226503075,55.38174766666711,-1391.4998749836404,43294.12248022723,41901.6426142561
P_B1,2025-09-17,1387.4229050228644,0.0,-1387.4229050228644,44675.96614190744,43287.55717016323
P_B1,2025-09-18,1081.4802187512507,0.0,-1081.4802187512507,45304.236257408265,44221.95764251316
P_B1,2025-09-19,152.95751067322294,0.0,-152.95751067322294,19179.410964026592,19045.1390349511
