candidate,reference,month,saving_yuan
q3_w28_reserve,q3_raw_reserve,2025-09,3518.797187595799
q3_w28_reserve,q3_raw_reserve,2025-10,-1314.501221230883
q3_w28_reserve,q3_raw_reserve,2025-11,-6506.123742738688
q3_w28_reserve,q3_raw_reserve,2025-12,-1895.9683316884511
q42_ols_reserve,q42_fixed_reserve,2025-02,-1750.2948647574176
q42_ols_reserve,q42_fixed_reserve,2025-03,-312.3496007788963
q42_ols_reserve,q42_fixed_reserve,2025-04,2618.5371812534468
q42_ols_reserve,q42_fixed_reserve,2025-05,-2005.8546655713799
q42_ols_reserve,q42_fixed_reserve,2025-06,-343.1629006346375
q42_ols_reserve,q42_fixed_reserve,2025-07,3860.6496964537764
q42_ols_reserve,q42_fixed_reserve,2025-08,6736.806887355262
q42_ols_reserve,q42_fixed_reserve,2025-09,6276.595446928048
q42_ols_reserve,q42_fixed_reserve,2025-10,-6488.8515169766215
q42_ols_reserve,q42_fixed_reserve,2025-11,6213.967439926539
q42_ols_reserve,q42_fixed_reserve,2025-12,-11726.77758257333
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-02,-210.86464724363213
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-03,8670.167468570624
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-04,125.47679795107615
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-05,-4044.4836249831096
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-06,4703.983713550944
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-07,7705.093929063794
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-08,5481.608519746689
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-09,-56.72707762880236
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-10,-2358.9203821847404
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-11,6866.804804480367
q43_raw_ols_reserve,q43_raw_fixed_reserve,2025-12,2010.741455312229
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-02,0.0
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-03,0.0
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-04,-3997.9118400559128
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-05,2661.2712381165893
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-06,1482.7095192437446
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-07,-6068.470209334184
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-08,3765.7670638572235
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-09,4036.271095197717
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-10,-106.44747380207264
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-11,-5550.312548350588
q43_w28_ols_reserve,q43_raw_ols_reserve,2025-12,-1207.7595450110312
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-02,0.0
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-03,0.0
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-04,-3319.0468145182094
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-05,469.4783423694862
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-06,5175.99570901152
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-07,932.0987449300446
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-08,3876.9279784828177
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-09,3460.318054270336
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-10,-1010.2579003881456
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-11,-6875.215829343559
q43_w28_fixed_reserve,q43_raw_fixed_reserve,2025-12,-2479.973311193815
q2_reserve,frozen_v5_q2,2025-02,-4438.035819883258
q2_reserve,frozen_v5_q2,2025-03,3852.4345353286226
q2_reserve,frozen_v5_q2,2025-04,2461.687376339454
q2_reserve,frozen_v5_q2,2025-05,-3519.661400537081
q2_reserve,frozen_v5_q2,2025-06,43729.297258748076
q2_reserve,frozen_v5_q2,2025-07,10240.260647884905
q2_reserve,frozen_v5_q2,2025-08,1331.044218631232
q2_reserve,frozen_v5_q2,2025-09,-2597.745999199851
q2_reserve,frozen_v5_q2,2025-10,-2172.073791941488
q2_reserve,frozen_v5_q2,2025-11,782.6388850735093
q2_reserve,frozen_v5_q2,2025-12,18769.64205831012
q3_w28_reserve,frozen_v5_q3,2025-02,-7304.664447454896
q3_w28_reserve,frozen_v5_q3,2025-03,-6937.837704285757
q3_w28_reserve,frozen_v5_q3,2025-04,-6438.554442695453
q3_w28_reserve,frozen_v5_q3,2025-05,1762.3024339331205
q3_w28_reserve,frozen_v5_q3,2025-06,6691.8703730885645
q3_w28_reserve,frozen_v5_q3,2025-07,-1626.5808943406773
q3_w28_reserve,frozen_v5_q3,2025-08,6872.289126056123
q3_w28_reserve,frozen_v5_q3,2025-09,-2033.6567836558388
q3_w28_reserve,frozen_v5_q3,2025-10,1011.5873391956629
q3_w28_reserve,frozen_v5_q3,2025-11,-6121.501903202279
q3_w28_reserve,frozen_v5_q3,2025-12,1496.387882975945
q42_ols_reserve,frozen_v5_q42,2025-02,-5312.268985384517
q42_ols_reserve,frozen_v5_q42,2025-03,-1122.114568579931
q42_ols_reserve,frozen_v5_q42,2025-04,4369.432845513256
q42_ols_reserve,frozen_v5_q42,2025-05,-7009.432395703085
q42_ols_reserve,frozen_v5_q42,2025-06,36321.050179059384
q42_ols_reserve,frozen_v5_q42,2025-07,14722.125223219977
q42_ols_reserve,frozen_v5_q42,2025-08,5466.177838975716
q42_ols_reserve,frozen_v5_q42,2025-09,-934.2237724047154
q42_ols_reserve,frozen_v5_q42,2025-10,-9360.267430308219
q42_ols_reserve,frozen_v5_q42,2025-11,8396.5638588681
q42_ols_reserve,frozen_v5_q42,2025-12,14483.434322849655
q43_raw_ols_reserve,frozen_v5_q43,2025-02,-7618.95658782956
q43_raw_ols_reserve,frozen_v5_q43,2025-03,-3704.281740928722
q43_raw_ols_reserve,frozen_v5_q43,2025-04,-2420.940955153681
q43_raw_ols_reserve,frozen_v5_q43,2025-05,-422.3687710211161
q43_raw_ols_reserve,frozen_v5_q43,2025-06,616.8540449680295
q43_raw_ols_reserve,frozen_v5_q43,2025-07,7685.272167281109
q43_raw_ols_reserve,frozen_v5_q43,2025-08,7810.418397911282
q43_raw_ols_reserve,frozen_v5_q43,2025-09,-4828.08024216557
q43_raw_ols_reserve,frozen_v5_q43,2025-10,2584.3429123576443
q43_raw_ols_reserve,frozen_v5_q43,2025-11,660.369673704161
q43_raw_ols_reserve,frozen_v5_q43,2025-12,7858.641327047248
